Iss_Age	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Ult	Att_Age
18	0.27	0.27	0.26	0.27	0.27	0.27	0.26	0.26	0.27	0.28	0.30	0.32	0.34	0.36	0.40	0.47	0.54	0.62	0.70	0.77	0.83	0.86	0.87	0.87	0.88	0.88	43
19	0.26	0.25	0.25	0.25	0.25	0.25	0.24	0.24	0.26	0.28	0.30	0.32	0.33	0.36	0.41	0.48	0.57	0.66	0.75	0.81	0.86	0.87	0.87	0.88	0.88	0.88	44
20	0.21	0.22	0.23	0.24	0.23	0.22	0.22	0.23	0.26	0.28	0.30	0.31	0.33	0.36	0.43	0.51	0.60	0.68	0.76	0.83	0.87	0.87	0.88	0.88	0.88	0.90	45
21	0.17	0.20	0.22	0.22	0.21	0.20	0.21	0.23	0.26	0.29	0.30	0.31	0.33	0.38	0.45	0.54	0.62	0.69	0.77	0.84	0.87	0.88	0.88	0.88	0.90	0.94	46
22	0.15	0.19	0.20	0.19	0.18	0.19	0.21	0.24	0.27	0.29	0.30	0.32	0.35	0.41	0.49	0.56	0.63	0.70	0.78	0.84	0.88	0.88	0.88	0.90	0.94	0.99	47
23	0.14	0.18	0.18	0.17	0.17	0.19	0.22	0.25	0.28	0.30	0.31	0.33	0.37	0.44	0.52	0.59	0.64	0.71	0.78	0.84	0.88	0.88	0.90	0.94	0.99	1.05	48
24	0.12	0.15	0.16	0.16	0.17	0.19	0.22	0.25	0.28	0.30	0.33	0.36	0.41	0.49	0.56	0.60	0.65	0.71	0.78	0.84	0.88	0.90	0.94	0.99	1.05	1.13	49
25	0.10	0.13	0.14	0.15	0.17	0.20	0.23	0.26	0.29	0.32	0.35	0.40	0.46	0.53	0.59	0.62	0.67	0.73	0.79	0.85	0.90	0.94	0.99	1.05	1.13	1.23	50
26	0.09	0.12	0.14	0.15	0.17	0.20	0.23	0.27	0.31	0.35	0.39	0.44	0.51	0.58	0.61	0.64	0.69	0.75	0.82	0.88	0.94	0.99	1.05	1.13	1.23	1.35	51
27	0.08	0.12	0.14	0.16	0.18	0.20	0.24	0.29	0.33	0.38	0.43	0.49	0.56	0.61	0.64	0.67	0.72	0.78	0.85	0.92	0.99	1.05	1.13	1.23	1.35	1.51	52
28	0.07	0.12	0.14	0.16	0.18	0.21	0.26	0.31	0.36	0.41	0.47	0.53	0.60	0.64	0.66	0.70	0.75	0.82	0.89	0.97	1.05	1.13	1.23	1.35	1.51	1.70	53
29	0.07	0.13	0.15	0.16	0.19	0.23	0.28	0.34	0.39	0.45	0.50	0.56	0.62	0.66	0.69	0.73	0.80	0.88	0.96	1.04	1.13	1.23	1.35	1.51	1.70	1.90	54
30	0.07	0.13	0.15	0.17	0.20	0.25	0.31	0.37	0.42	0.47	0.53	0.59	0.65	0.68	0.72	0.78	0.86	0.95	1.03	1.12	1.23	1.35	1.51	1.70	1.90	2.10	55
