Iss_Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Att_Age
18,0.66,0.69,0.71,0.71,0.69,0.69,0.68,0.66,0.57,0.52,0.50,0.47,0.46,0.49,0.52,0.58,0.66,0.77,0.89,1.01,1.11,1.17,1.24,1.31,1.40,1.48,43
19,0.60,0.62,0.66,0.63,0.62,0.61,0.61,0.56,0.49,0.46,0.46,0.45,0.45,0.50,0.55,0.59,0.68,0.80,0.92,1.04,1.14,1.20,1.27,1.35,1.44,1.54,44
20,0.51,0.57,0.57,0.55,0.53,0.52,0.51,0.47,0.43,0.44,0.44,0.45,0.46,0.51,0.57,0.62,0.71,0.82,0.94,1.07,1.16,1.22,1.29,1.38,1.49,1.59,45
21,0.45,0.52,0.47,0.44,0.43,0.43,0.42,0.40,0.38,0.41,0.43,0.45,0.48,0.53,0.59,0.64,0.73,0.84,0.97,1.09,1.17,1.23,1.30,1.41,1.53,1.65,46
22,0.41,0.43,0.39,0.37,0.36,0.36,0.36,0.35,0.35,0.40,0.43,0.46,0.49,0.56,0.62,0.66,0.76,0.88,1.01,1.11,1.17,1.23,1.30,1.43,1.58,1.71,47
23,0.35,0.36,0.33,0.31,0.31,0.31,0.31,0.33,0.34,0.40,0.43,0.47,0.52,0.59,0.64,0.69,0.79,0.92,1.04,1.12,1.18,1.23,1.31,1.45,1.63,1.79,48
24,0.30,0.31,0.28,0.27,0.27,0.27,0.29,0.32,0.34,0.41,0.45,0.50,0.55,0.61,0.67,0.73,0.84,0.97,1.07,1.12,1.19,1.24,1.35,1.51,1.70,1.88,49
25,0.26,0.27,0.25,0.25,0.25,0.26,0.28,0.32,0.35,0.42,0.47,0.53,0.58,0.65,0.71,0.78,0.90,1.02,1.09,1.13,1.19,1.28,1.43,1.61,1.80,1.99,50
26,0.22,0.24,0.23,0.24,0.24,0.26,0.29,0.33,0.36,0.45,0.51,0.57,0.62,0.69,0.77,0.85,0.97,1.06,1.11,1.16,1.24,1.37,1.55,1.74,1.95,2.16,51
27,0.20,0.22,0.22,0.24,0.25,0.27,0.31,0.35,0.39,0.48,0.55,0.62,0.67,0.75,0.83,0.91,1.02,1.10,1.15,1.22,1.33,1.49,1.68,1.89,2.12,2.36,52
